Varenummer;navn;poeng
7715001;Lustau Vermut White;91
7420001;Pierre Luneau-Papin Vera Cruz 2015;91
7433201;Bründlmayer Grüner Veltiner Alte Reben 2016;91
7950201;Parés Balta Hisenda Miret 2015;91
7950301;Knebel Riesling Alte Reben 2016;91
5481802;Warre's Otima 20 Years Old Tawny;91
5335001;Schätzel Niersteiner ReinSchiefer Riesling 2017;91
5417801;Mas Asturias Massuria Bierzo 2009;91
4920801;Dom. de L'Ecu Gneiss Sèvre-et-Maine Muscadet 2015;91
5080901;Kientz Riesling Winzenberg Grand Cru 2013;91
4762201;Schaefer Graacher Himmelreich Riesling Spätlese 2014;91
4850901;Ch. d'Aydie 2014;91
5465001;Pierre Gaillard Saint-Joseph Clos de Cuminaille 2017;91
8154501;Rolet L'étoile Expression Chardonnay Savagnin 2013;91
8168301;Kranz Westerberg Riesling Trocken Erste Lage 2016;91
8252601;Perrin Gigondas La Gille 2015;91
8286202;Kracher Zweigelt Beerenauslese 2017;91
8304901;Zind-Humbrecht Clos Häuserer Riesling 2017;91
7950201;Parés Balta Hisenda Miret 2015;91
7950301;Knebel Riesling Alte Reben 2016;91
8007601;Ratzenberger Bacharacher Wolfshöhle Riesling Spätlese 2012;91
11039301;Chanin Santa Rita Hills Pinot Noir 2017;91
10972401;Markus Molitor Zeltinger Sonnenuhr Riesling Kabinett -Fuder 6- 2017;91
10829901;Fedellos do Couto Conasbrancas 2017;91
10898001;Salomon Ried Kögl Erste Lage Kremstal Riesling 2017;91
3278801;Fontodi Chianti Classico 2016;91
3311201;Feudi di San Gregorio Taurasi 2013;91
3429301;Castillo Perelada Cava Gran Claustro Brut Nature Reserva 2013;91
2857901;Felsina Chianti Classico Riserva 2016;91
3791202;Ch. Musar 2001;91
3915801;Rall Cinsault;91
3626701;Kubler Z La Petite Tête au Soleil 2014;91
5481802;Warre's Otima 20 Years Old Tawny;91
5335001;Schätzel Niersteiner ReinSchiefer Riesling 2017;91
5417801;Mas Asturias Massuria Bierzo 2009;91
6821702;Sattlerhof Trockenbeerenauslese Morillon 2013;91
5876702;Weinrieder Riesling Beerenauslese Schneiderberg 2013;91
5465001;Pierre Gaillard Saint-Joseph Clos de Cuminaille 2017;91
5779001;Les Croix Crozes-Hermitage 2013;91
10400201;Muhr van der Niepoort Samt & Seide 2016;91
10414901;Elio Grasso Gavarini Langhe Nebbiolo 2017;91
10711101;Viña Somoza via XVIII 2016;91
10511501;Gritsch Kalkofen Riesling 2017;91
10208701;Charly Nicolle Chablis Premier Cru Les Fourneaux;91
6821702;Sattlerhof Trockenbeerenauslese Morillon 2013;91
6991801;Villa Job Untitled 2017;91
7160901;Anzivino Gattinara 2012;91
7161501;Brun Morgon Côte du Py Javernières 2017;91
7265401;Markus Molitor Zeltinger Sonnenuhr Riesling Spätlese 2015;91
7267201;Markus Molitor Ürziger Würzgarten Riesling Spätlese Tørr 2017;91
7315401;Anzivino Bramaterra 2013;91
5876702;Weinrieder Riesling Beerenauslese Schneiderberg 2013;91
5779001;Les Croix Crozes-Hermitage 2013;91
10095401;Dom. Vocoret Chablis 1er Cru Montee De Tonnere 2016;91
10711101;Viña Somoza via XVIII 2016;91
10511501;Gritsch Kalkofen Riesling 2017;91
10518301;Schwedhelm Kreuzberg Riesling 2017;91
10151401;Blankbottle Orbitofrontal Cortex;91
9391302;Cascina Castlet Avie' Moscato Passito 2009;91
11039301;Chanin Santa Rita Hills Pinot Noir 2017;91
10230701;Maximin Grünhaus Riesling Alte Reben 2016;91
11078501;Jean-Paul Schmitt Rittersberg Zen;91
11080401;Vogt Alsace Argentoratum;91
11081601;Daterra Viticultores Gavela Da Vila;91
11085901;Coutelou Classe;91
10829901;Fedellos do Couto Conasbrancas 2017;91
10898001;Salomon Ried Kögl Erste Lage Kremstal Riesling 2017;91
10972401;Markus Molitor Zeltinger Sonnenuhr Riesling Kabinett -Fuder 6- 2017;91
11197302;A. Clüsserath Trittenheimer Apotheke Riesling Auslese 2018;91
11272501;Mesquida Mora Trispol;91
7950401;Knebel Riesling Röttgen Kabinett 2016;90
10548801;Flotsam & Jetsam Chenin Blanc 2017;90
170401;Tenuta di Castellaro Bianco Pomice 2013;90
170401;Tenuta di Castellaro Bianco Pomice 2013;90
7950401;Knebel Riesling Röttgen Kabinett 2016;90
169701;Dom. Huet Vouvray Pétillant Brut 2012;90
267401;Ariyanas Tinto de Ensamblaje 2013;90
312101;Lieubeau Ch. Thébaud L?Aulnaye Muscadet Sèvre et Maine 2015;90
4357701;Keller Riesling Von der Fels Trocken 2018;90
4409901;Lequin-Colin Santenay Vieilles Vignes 2017;90
4471601;Marina Cvetic Montepulciano d'Abruzzo Riserva;90
5040501;Schieferterrassen Riesling 2017;90
5065401;Ch. du Coing de St. Fiacre Comte de St. Hubert 2007;90
5089801;Viña Tondonia Gran Reserva Rosado 2009;90
5103901;Burlotto Langhe Freisa 2017;90
4028701;Quinta do Noval Unfiltered LBV 2013;90
4191601;Freixenet Reserva Real;90
4224501;Fernando de Castilla Fino;90
5183901;Rall Grenache Blanc 2017;90
5212301;Mas Doix Les Crestes 2015;90
3922301;Bailly-Reverdy Sancerre Le Mercy-Dieu 2015;90
3927201;Bernabeleva Cantocuerdas Albillo 2017;90
3956401;Dom. de la Garrelière Le Chenin de la Colline 2018;90
3963702;Churchill's 10 YO Tawny Port;90
3981401;Allram Grüner Renner Grüner Veltliner Erste Lage 2017;90
4841001;Brocard Chablis Boissonneuse 2018;90
4871101;Loimer Riesling Terrassen 2016;90
4716901;Wolf Blass Gold Label Shiraz 2016;90
4746801;Ch. du Coing de St. Fiacre Comte de St. Hubert 2016;90
4639101;Fanti Rosso di Montalcino 2017;90
9072701;Planeta Carricante 2016;90
9219601;Scarzello Langhe Nebbiolo 2016;90
9220101;Cascina Corte Dogliani Vigna Pirochetta 2015;90
8363301;A & A Sider fra Sandefjord Aroma;90
8366101;Leitz Rüdesheim Berg Kaisersteinfels Riesling Kabinett 2016;90
9739801;Baudry Chinon Les Grézeaux 2017;90
9745501;Tenuta delleTerre Nere Etna Rosato 2016;90
9745701;Chave Saint Joseph Offerus 2016;90
9764401;Topf Gr ner Veltliner Offenberg Reserve 2016;90
9869101;Gaia Thalassitis 2016;90
9869201;Assyrtiko by Gaia Wild Ferment 2018;90
9909701;Angiolino Maule Sassaia 2017;90
9941501;Gaudio Bricco Mondalino Grignolino 2018;90
9955601;Scarpa Barbera d'Asti I Bricchi 2014;90
10026701;Moraza ?4 Caminos Tempranillo 2016;90
10030401;Birichino Mourvedre Old Vines 2015;90
10032501;Markus Molitor Zeltinger Sonnenuhr Riesling Spätlese Tørr 2017;90
10033601;Markus Molitor Kinheimer Rosenberg Riesling Spätlese feinherb 2016;90
10034701;Markus Molitor Ürziger Würzgarten Riesling Spätlese 2017;90
10042301;Bedouet Cogito 2017;90
9419701;Cune Gran Reserva 2011;90
9629701;Colomé Estate Malbec 2016;90
9678101;Principiano Le Coste Langhe Nebbiolo 2017;90
9373101;Villa di Capezzana Carmignano 2013;90
9384901;Alain Brumont Ch. Montus 2014;90
11134401;Allram Heiligenstein Erste Lage Riesling 2018;90
11051001;Jean-Charles Fagot Auxey-Duresses Les Ruchottes 2017;90
11066901;Rocher des Violettes Montlouis Touche-Mitaine 2017;90
11072101;Saillard Lucky You;90
11097201;Dom. des Gandines Crémant de Bourgogne;90
11233001;Les Vignes Oubliées Terrasses du Larzac 2017;90
11257201;Dom. Lombard Brézème Côtes du Rhône Eugène de Monicault;90
11194801;Marañones Garnacha 2016;90
7372801;Le Dom. d'Henri Chablis Saint Pierre 2015;90
7396201;Blue Mountain Pinot Noir 2016;90
7396601;Lock & Worth Cabernet Franc 2017;90
7402501;Poiron Dabin Ch. Thébaud Muscadet Sèvre et Maine Clos des Tabardières 2010;90
7419801;Pierre Luneau-Papin Terre de Pierre 2017;90
7812402;Dievole Vin Santo di Chianti Classico 2012;90
7846502;Chaos White 2016;90
7848801;Thorne & Daughters Wanderer's Heart 2017;90
7850701;Sohm & Kracher Alte Reben Grüner Veltliner 2013;90
7873201;Moltès Sonnenglaenzlé Pinot Noir 2015;90
7905201;Riecine Chianti Classico 2017;90
7911101;Dom. Alain Voge Les Bulles d'Alain 2012;90
7919501;Grillo Iole Schioppettino di Prepotto 2015;90
7923001;Galena Crossos Priorat 2015;90
7948701;Guímaro Finca Meixeman 2017;90
7797701;Beck Bambulle! Weissburgunder 2017;90
5471301;Quinta de Saes Reserva Estagio Prolongado 2011;90
5494201;Ch. de Bellet Rouge 2014;90
5494301;Ch. de Bellet Blanc 2014;90
5512202;Royal Tokaij Late Harvest 2016;90
5588601;Clos Henri Sauvignon Blanc 2017;90
5624602;Hugel Gewurztraminer Vendange Tardive 2010;90
5632301;Salmos 2016;90
5323701;Zorita Natural Reserve Syrah 2015;90
5326201;Claudio Cipressi Macchiarossa Tintilia del Molise 2011;90
5373301;Terroir Historic Priorat Negre 2017;90
5400601;Ch. Musar Aana 2015;90
5447602;Alambre Moscatel de Setúbal 10 YO;90
5451302;Ch. Megyer Tokaji Aszú 5 Puttonyos 2013;90
5040501;Schieferterrassen Riesling 2017;90
8153901;Rolet Arbois Chardonnay 2015;90
8160102;Carmes de Rieussec 2014;90
8208701;Gregorio Martínez Gran Reserva 2004;90
8225301;Engel Renaissance Sylvaner Vieilles Vignes 2017;90
8245401;Perrin Coudolet de Beaucastel Cotes-du-Rhone 2016;90
8278301;AB Valley Wines B Avesso Vinho Verde 2016;90
8288001;Mee Godard Morgon Côte du Py 2016;90
8302501;Planeta Mamertino 2015;90
8303001;Porzelt Klingenmünster Riesling Muschelkalk;90
8303101;Porzelt Klingenmünster Silvaner Muschelkalk;90
8304201;Zind-Humbrecht Turckheim Gewürztraminer 2018;90
8304601;Zind-Humbrecht Roche Calcaire Riesling 2016;90
8318301;Combel-la-Serre Cahors;90
7812402;Dievole Vin Santo di Chianti Classico 2012;90
7846502;Chaos White 2016;90
7848801;Thorne & Daughters Wanderer's Heart 2017;90
7850701;Sohm & Kracher Alte Reben Grüner Veltliner 2013;90
7873201;Moltès Sonnenglaenzlé Pinot Noir 2015;90
7905201;Riecine Chianti Classico 2017;90
7911101;Dom. Alain Voge Les Bulles d'Alain 2012;90
7919501;Grillo Iole Schioppettino di Prepotto 2015;90
7923001;Galena Crossos Priorat 2015;90
7948701;Guímaro Finca Meixeman 2017;90
7971001;K.H. Schneider Marbach Riesling Spätlese 2015;90
7972001;Lamoresca Rosso 2017;90
7987901;Torbreck Old Vines 2015;90
10980401;Mesquida Mora Acrollam Blanc;90
11007801;Romain Reverdy Florilège Rosé 2018;90
11008101;Arnaud Lambert Clos Tue-Loup Saumur Rouge 2016;90
10970001;Dom. Les Capréoles Regnie Chamodère 2017;90
9072701;Planeta Carricante 2016;90
9219601;Scarzello Langhe Nebbiolo 2016;90
9220101;Cascina Corte Dogliani Vigna Pirochetta 2015;90
8363301;A & A Sider fra Sandefjord Aroma;90
8366101;Leitz Rüdesheim Berg Kaisersteinfels Riesling Kabinett 2016;90
7971001;K.H. Schneider Marbach Riesling Spätlese 2015;90
7972001;Lamoresca Rosso 2017;90
7987901;Torbreck Old Vines 2015;90
688001;Shobbrook Tommy Ruff 2014;90
689701;Aupilhac Montpeyroux 2013;90
752701;Farge Saint Joseph Terroir de Granit 2016;90
169701;Dom. Huet Vouvray Pétillant Brut 2012;90
267401;Ariyanas Tinto de Ensamblaje 2013;90
312101;Lieubeau Ch. Thébaud L?Aulnaye Muscadet Sèvre et Maine 2015;90
500001;Dom. Fernand Engel Praelatenberg Grand Cru Riesling 2015;90
553801;Eric Texier Brézème Roussanne 2017;90
4357701;Keller Riesling Von der Fels Trocken 2018;90
4409901;Lequin-Colin Santenay Vieilles Vignes 2017;90
4471601;Marina Cvetic Montepulciano d'Abruzzo Riserva;90
3658801;Feudi del Pisciotto Versace Nero d'Avola;90
3702801;Ch. Malescasse 2014;90
3702901;Cuilleron Saint-Péray Les Potiers 2014;90
3764901;Henri Bourgeois Le MD Sancerre 2017;90
4028701;Quinta do Noval Unfiltered LBV 2013;90
4191601;Freixenet Reserva Real;90
4224501;Fernando de Castilla Fino;90
3797301;Lompoc Pinot Noir 2014;90
3816701;Nicolas Gonin Altesse Isère 2016;90
3914801;Craven Clairette Blanche 2018;90
3922301;Bailly-Reverdy Sancerre Le Mercy-Dieu 2015;90
3658801;Feudi del Pisciotto Versace Nero d'Avola;90
3702801;Ch. Malescasse 2014;90
3702901;Cuilleron Saint-Péray Les Potiers 2014;90
3764901;Henri Bourgeois Le MD Sancerre 2017;90
3797301;Lompoc Pinot Noir 2014;90
3816701;Nicolas Gonin Altesse Isère 2016;90
3914801;Craven Clairette Blanche 2018;90
3586801;Les Hauts de Croix de Labrie 2012;90
3597201;Matassa Olla Blanc 2018;90
3598301;Dom. Goisot Irancy les Mazelots 2013;90
3616501;Ch. Salettes Bandol 2015;90
3638201;L. Bénard-Pitois Brut Réserve;90
3568501;Ch. Thivin Clos Bertrand Côte de Brouilly 2017;90
5471301;Quinta de Saes Reserva Estagio Prolongado 2011;90
5494201;Ch. de Bellet Rouge 2014;90
5494301;Ch. de Bellet Blanc 2014;90
5512202;Royal Tokaij Late Harvest 2016;90
5588601;Clos Henri Sauvignon Blanc 2017;90
5624602;Hugel Gewurztraminer Vendange Tardive 2010;90
5632301;Salmos 2016;90
5323701;Zorita Natural Reserve Syrah 2015;90
5326201;Claudio Cipressi Macchiarossa Tintilia del Molise 2011;90
5373301;Terroir Historic Priorat Negre 2017;90
5400601;Ch. Musar Aana 2015;90
5447602;Alambre Moscatel de Setúbal 10 YO;90
5451302;Ch. Megyer Tokaji Aszú 5 Puttonyos 2013;90
6662101;Ambra Montalbiolo Carmignano Riserva 2012;90
6669802;Niepoort Moscatel do Douro;90
6854701;Gysler Klangwerk Vum Helle Riesling Trocken 2017;90
5817601;Moutardier Cuvée Carte d'Or, Brut;90
5839401;Rosi Schuster Burgenland Blaufränkisch 2016;90
5693301;Briccolero Dolcetto di Dogliani 2016;90
5950301;Begali Lorenzo Amarone della Valpolicella Classico 2014;90
5994601;Pala Essentija Bovale 2014;90
5470001;Torre More Scalunera Etna Rosso 2013;90
5790901;Sesti Rosso di Montalcino 2016;90
10383101;Kruger-Rumpf Abtei Rupertsberg Riesling Trocken 2018;90
10391601;Gurashvili?s Kisi Qvevri 2017;90
10392701;Laurent Vogt Alsace Grand Cru Altenberg de Wolxheim Riesling 2015;90
10407201;Ten. San Guido Le Difese 2017;90
10410601;Dom. Padie Gibraltar 2017;90
10660601;Kranz Riesling Vom Kalk 2017;90
10663701;Jean-François Quénard Les 2 Jean Persan 2017;90
10668501;Walters Spätburgunder 2014;90
10687801;Ch. de Mérande Apremont 1248 Savoie 2017;90
10536001;Kruger-Rumpf Im Pitterberg Riesling Kabinett 2018;90
10620601;Eva Fricke Riesling;90
10624101;Héritiers du Comte Lafon Mâcon-Milly-Lamartine;90
10625001;Dom. des Enfants l'Enfant Perdu;90
10628701;Marnes Blanches Savagnin En Quatre Vis 2018;90
10630101;Dr. Loosen Graacher Himmelreich Riesling GG 2017;90
10630201;Dr. Loosen Graacher Domprobst Riesling GG 2017;90
10630401;Marnes Blanches Les Molates Chardonnay 2018;90
