varenummer;poeng;konklusjon;argang_apreritif;smakt;url_aperitif
10204601;90;En herlig veldig fersk petnat som tåler 5-6 år. Meget godt kjøp.;2018;  6. mai 2019;https://www.aperitif.no/pollisten/produkt/johan-vineyard-petillant-naturel-pinot-noir-2017/2130479
10207901;90;En god og strukturert barbera som bærer alkoholen godt og som tåler 6-7 år. Meget godt kjøp.;2015; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/massolino-barbera-d-alba-gisep-2015/2130505
10215601;90;En herlig vin som tåler 7-8 år. Meget godt kjøp.;2016; 30. august 2018;https://www.aperitif.no/pollisten/produkt/cirielli-trebbiano-d-abruzzo-2016/2140164
10219301;90;En elegant og veldig ren vin som tåler 6-7 år. Godt kjøp.;2016; 12. juni 2018;https://www.aperitif.no/pollisten/produkt/dom-belleville-rully-1er-cru-rabource-2016/2130569
10220801;90;En herlig vin som tåler 7-8 år. Meget godt kjøp.;2015; 30. august 2018;https://www.aperitif.no/pollisten/produkt/chevrot-maranges-sur-le-chene/2140534
10221401;90;En herlig riesling som tåler 7-8 år. Meget godt kjøp.;2017;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/josmeyer-le-kottabe-riesling-2017/2130579
10227801;90;En virkelig herlig albarino som tåler 8 år men som nok er aller best mens den har den deilige frukten. Vil nok utvikle interessante mineraltoner. Meget godt kjøp.;2017; 12. juni 2018;https://www.aperitif.no/pollisten/produkt/terras-de-lantano-albarino-2017/2130620
10228601;90;En flott og åpen riesling som tåler 6-7 år. Meget godt kjøp.;2018; 16. september 2019;https://www.aperitif.no/pollisten/produkt/muller-catoir-haardt-riesling-2017/2130625
10230601;90;En flott jordsmonnspreget riesling som tåler 12 år. Meget godt kjøp.;2018;  6. mai 2019;https://www.aperitif.no/pollisten/produkt/maximin-grunhaus-monopol-riesling-2018/2130661
10231601;90;En godt strukturert og lovende champagne som tåler 7-8 år. Godt kjøp.;2012; 14. januar 2019;https://www.aperitif.no/pollisten/produkt/autreau-de-champillon-grand-cru-reserve-brut-2013/2141559
10380501;90;En solid og åpen macon som likevel tåler 10 år. Godt kjøp.;2016; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/vignes-du-maynes-macon-clos-fourneau-chardonnay-2016/2140214
10383101;90;En tørr og strukturert men likevel slank riesling som tåler 8-10 år. Meget godt kjøp.;2018;  6. mai 2019;https://www.aperitif.no/pollisten/produkt/kruger-rumpf-abtei-rupertsberg-riesling-trocken-2018/2140471
10383901;90;En herlig vin som tåler 7-8 år. Meget godt kjøp.;2016; 15. september 2018;https://www.aperitif.no/pollisten/produkt/bruno-ferrara-sardo-nzemmula-2016/2152009
10384601;90;En god og lovende riesling som tåler 8 år. Meget godt kjøp.;2016; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/georg-muller-hattenheimer-hassel-riesling-gg-2017/2140321
10384801;90;En ganske så deilig og fyldig vin som tåler 8 år. Meget godt kjøp.;2010; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/ch-franc-patarabet-cuvee-les-menuts-vieilles-vignes-2010/2140328
10391601;90;En kul georgisk oransjevin som tåler 8 år. Meget godt kjøp.;2017; 16. september 2019;https://www.aperitif.no/pollisten/produkt/gurashvili-s-kisi-qvevri-2017/2142042
10392701;90;En flott nord-Alsace-grand cru som tåler 12 år. Meget godt kjøp.;2014;  7. november 2018;https://www.aperitif.no/pollisten/produkt/laurent-vogt-alsace-grand-cru-altenberg-de-wolxheim-riesling-2015/2142048
10407201;90;En flott vin som tåler 8 år. Meget godt kjøp.;2016; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/ten-san-guido-le-difese-2017/2140355
10410601;90;En superlekker vin som tåler 10 år. Meget godt kjøp.;2017; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/dom-padie-gibraltar-2017/2140163
10414901;90;En herlig veldig transaprent langhe nebbiolo som tåler 6-7 år. Meget godt kjøp.;2018; 16. september 2019;https://www.aperitif.no/pollisten/produkt/elio-grasso-gavarini-langhe-nebbiolo-2017/2140287
10415101;90;En flott og konsentrert musserende som tåler 6-7 år. Godt kjøp.;NA; 15. september 2018;https://www.aperitif.no/pollisten/produkt/wiston-estate-cuvee-brut/2152047
9855701;90;En nydelig champagne som tåler 6-7 år. Meget godt kjøp.;NA; 12. juni 2018;https://www.aperitif.no/pollisten/produkt/duval-leroy-brut/279663
9869101;90;En veldig aromatisk og strukturert vin som tåler 8 år. Meget godt kjøp.;2015; 15. mars 2018;https://www.aperitif.no/pollisten/produkt/gaia-thalassitis-2016/302242
9869201;90;En lekker assyrtiko som tåler 10 år. Meget godt kjøp.;2018; 14. januar 2019;https://www.aperitif.no/pollisten/produkt/assyrtiko-by-gaia-wild-ferment-2018/302240
9909701;90;En herlig åpen og lovende oransjevin som tåler 10 år. Meget godt kjøp.;2017;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/angiolino-maule-sassaia-2018/315112
9941501;90;En herlig syrefrisk rødvin som tåler 7-8 år. Minst. Godt kjøp.;2017;  6. mai 2019;https://www.aperitif.no/pollisten/produkt/gaudio-bricco-mondalino-grignolino-2018/315232
9943001;90;En veldig elegant og lekker vin som tåler 8 år. Meget godt kjøp.;2015; 31. mai 2017;https://www.aperitif.no/pollisten/produkt/matassa-cuvee-romanissa-2018/305029
9955601;90;En nydelig vin som tåler 10 år. Meget godt kjøp.;2013; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/scarpa-barbera-d-asti-i-bricchi-2014/315344
9533501;90;En veldig god sørafrikansk chardonnay som tåler 5-6 år. Meget godt kjøp.;2015; 30. mai 2016;https://www.aperitif.no/pollisten/produkt/newton-johnson-chardonnay-2017/313957
9595501;90;En ung og fast vin som vil utvikle seg videre i minst åtte år. Verd prisen. (2007) ;2007; 28. oktober 2011;https://www.aperitif.no/pollisten/produkt/cavalli-tenuta-degli-dei-2010/269981
9629701;90;En flott malbec som tåler 10 år. Meget godt kjøp.;2017; 16. september 2019;https://www.aperitif.no/pollisten/produkt/colome-estate-malbec-2017/314372
9643701;90;En kraftig premier cru for de neste 8 årene – minst. Meget godt kjøp. (2010) ;2010; 22. april 2013;https://www.aperitif.no/pollisten/produkt/dom-des-chenevieres-chablis-1er-cru-fourchaume-2014/298579
9676801;90;En flott og mineralsk Pouilly som tåler 6-7 år. Godt kjøp.;2017;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/bret-brothers-pouilly-fuisse-la-roche-2017/314462
9678101;90;En herlig og litt annerledes langhe nebbiolo som tåler 6-7 år. Meget godt kjøp.;2017; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/principiano-le-coste-langhe-nebbiolo-2018/314480
9739801;90;En veldig ung vin som tåler 15 år. Meget godt kjøp.;2014; 26. september 2016;https://www.aperitif.no/pollisten/produkt/baudry-chinon-les-grezeaux-2017/314570
9745001;90;En herlig viltvin som tåler 8 år. Meget godt kjøp.;2016; 14. januar 2019;https://www.aperitif.no/pollisten/produkt/manincor-rubatsch-lagrein-2016/314589
9745501;90;En lekker rose som tåler 4-5 år. Meget godt kjøp.;2018;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/tenuta-delleterre-nere-etna-rosato-2016/314599
9745701;90;En deilig og svært elegant vin som tåler 8 år. Meget godt kjøp.;2015; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/chave-saint-joseph-offerus-2016/314603
9747001;90;En lekker chablis som tåler 8 år. Meget godt kjøp.;2016;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/louis-michel-chablis-premier-cru-forets-2016/314625
9764401;90;En svært rik vin som holder fint i 10 år. Meget godt kjøp. (2012) ;NA; 10. juni 2013;https://www.aperitif.no/pollisten/produkt/topf-gr-ner-veltliner-offenberg-reserve-2016/314703
9943001;90;En veldig elegant og lekker vin som tåler 8 år. Meget godt kjøp.;2015; 31. mai 2017;https://www.aperitif.no/pollisten/produkt/matassa-cuvee-romanissa-2018/305029
9955601;90;En nydelig vin som tåler 10 år. Meget godt kjøp.;2013; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/scarpa-barbera-d-asti-i-bricchi-2014/315344
10078201;90;En deilig eplemost som har alt.;NA; 15. september 2018;https://www.aperitif.no/pollisten/produkt/dyre-gard-discovery-eplemost/2119996
10083001;90;En veldig kul og annerledes fem år gammel vin som tåler 10 år. Meget godt kjøp.;2013; 12. juni 2018;https://www.aperitif.no/pollisten/produkt/lapeyre-vitatge-vielh-jurancon-sec-2013/2120025
10091001;90;En kul oransjevin som tåler 8 år. Meget godt kjøp.;2017; 31. oktober 2019;https://www.aperitif.no/pollisten/produkt/movia-rebula-ribolla-2017/2130117
10091201;90;En pinot noir som ikke smaker som noen annen. Tåler sikkert 7-8 år til. Meget godt kjøp.;2012; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/movia-pinot-noir-2012/2120059
10101601;90;En herlig saltpreget chablis som tåler 7-8 år. NB Flasken hadde vært åpen i to dager.  Meget godt kjøp.;2016; 12. juni 2018;https://www.aperitif.no/pollisten/produkt/la-manufacture-benjamin-laroche-chablis-2016/2120104
10101701;90;En god åpen og fruktig premier cru som tåler 6-7 år. Meget godt kjøp.;2017; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/la-manufacture-benjamin-laroche-chablis-premier-cru-forets-2018/2120105
10105801;90;En veldig kul vin som tåler 8 år. Meget godt kjøp.;2015; 15. mars 2018;https://www.aperitif.no/pollisten/produkt/pax-buddha-s-dharma-chenin-blanc-2015/2119372
10107801;90;En flott vin som tåler 8 år. Meget godt kjøp;2016; 25. april 2019;https://www.aperitif.no/pollisten/produkt/pago-de-los-capellanes-crianza-2016/80585
10109301;90;En veldig spennende og kompleks rose i en moden-syrlig stil som tåler 4-5 år. Meget godt kjøp.;2017;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/vacheron-le-rose-xvii/2130139
10112901;90;En svært mineralsk og intens vin som tåler 8 år. Meget godt kjøp;2017; 15. mars 2018;https://www.aperitif.no/pollisten/produkt/fosse-seche-arcane-saumur-blanc-2017/2119086
10114101;90;En intens og god champagne som tåler 8 år. Meget godt kjøp.;NA; 15. mars 2018;https://www.aperitif.no/pollisten/produkt/bonnaire-grand-cru-extra-brut-blanc-de-blanc/2119085
10468601;90;En veldig konsentrert og lovende vin som tåler 8 år minst. Meget godt kjøp.;2017; 15. september 2018;https://www.aperitif.no/pollisten/produkt/pierre-marie-chermette-fleurie-les-garants-2017/2151966
10482701;90;En ung og litt lukket, god og konsentrert riesling som tåler 10-12 år. Godt kjøp.;2017; 15. september 2018;https://www.aperitif.no/pollisten/produkt/weing-k-h-schneider-felsenberg-rsl-tr-2017/2151758
10483101;90;En lekker nebbiolo som tåler 8 år. Meget godt kjøp.;2016; 15. september 2018;https://www.aperitif.no/pollisten/produkt/ronzano-langhe-nebbiolo/2152010
10509601;90;En strukturert barbera som tåler 10 år. Meget godt kjøp.;2015; 15. september 2018;https://www.aperitif.no/pollisten/produkt/mauro-veglio-barbera-d-alba-cascina-nuova-2015/2152398
10510401;90;En flott og lovende gamay som tåler 8 år. Meget godt kjøp.;2015; 15. september 2018;https://www.aperitif.no/pollisten/produkt/dom-des-marrans-fleurie-clos-du-pavillon-2015/2151891
10511701;90;En veldig åpen og fyldig men også fast Etna-vin som tåler 8 år. Minst. Meget godt kjøp.;2017; 15. september 2018;https://www.aperitif.no/pollisten/produkt/oma-etna-rosso/2151883
10536001;90;En veldig artig kabinett som tåler 8 år. Meget godt kjøp.;2018;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/kruger-rumpf-im-pitterberg-riesling-kabinett-2018/2151877
10136601;90;En herlig og konsentrert beaujoalsi som tåler 8 år. Meget godt kjøp.;2017; 14. desember 2018;https://www.aperitif.no/pollisten/produkt/a-thevenet-morgon-vieilles-vignes/2130199
10136901;90;En herlig sørafrikansk hvitvin som tåler 7-8 år. Meget godt kjøp.;2018; 16. september 2019;https://www.aperitif.no/pollisten/produkt/carinus-chenin-blanc/2130202
10137601;90;En virkelig herlig vin som tåler 6-7 år. Meget godt kjøp.;2017; 12. juni 2018;https://www.aperitif.no/pollisten/produkt/jolie-laide-gamay-noir-2018/2130209
10145701;90;En deilig rødvin som tåler 8 år. Meget godt kjøp.;2016; 16. september 2019;https://www.aperitif.no/pollisten/produkt/david-nadia-elpidios/2140304
10145801;90;En leskende og frisk og krydret rødvin som tåler 6-7 år. Meget godt kjøp.;2017; 16. september 2019;https://www.aperitif.no/pollisten/produkt/david-nadia-grenache/2130225
10148201;90;En kul vin som er fruktgiere enn forrige årgang og som tåler 5-6 år. Meget godt kjøp.;2018; 14. januar 2019;https://www.aperitif.no/pollisten/produkt/blankbottle-pseudonym-cinsault/2130228
10151701;90;En herlig vin som tåler 6-7 år. Meget godt kjøp.;2016; 15. september 2018;https://www.aperitif.no/pollisten/produkt/blankbottle-little-william/2130252
10353001;90;En veldig konsentrert nebbiolo som tåler 8 år. Meget godt kjøp.;2015;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/giacomo-anselma-langhe-nebbiolo-2015/2141973
10356401;90;En slank og tørr barolo som tåler 10 år. Meget godt kjøp.;2014; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/ca-viola-barolo-caviot-2014/2140331
10358401;90;En nydelig musserende som tåler 8 år. Meget godt kjøp.;NA; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/exton-park-blanc-de-noirs/2141245
10944101;90;En veldig konsentrert og lovende silvaner som tåler 10 år. Meget godt kjøp.;2016;  6. mai 2019;https://www.aperitif.no/pollisten/produkt/weing-schloss-sommerhausen-steinbach-alttenberg-1172-gg-2016/2185865
10959301;90;En god og tørr Nahe-riesling som trenger litt tid og som tåler 8 år. Meget godt kjøp.;2017;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/emrich-schonleber-halgans-monzinger-riesling-trocken-2017/2184788
10711701;90;En lekker Saint Veran som tåler 8-10 år. Meget godt kjøp.;2017;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/la-soufrandiere-saint-veran-climat-la-bonnode-2017/2174785
10792001;90;En god og åpen pent krydret barbaresco som tåler 7-8 år. Godt kjøp.;2015; 14. januar 2019;https://www.aperitif.no/pollisten/produkt/boffa-barbaresco-2015/2174392
11042701;90;En transparent og leskende elegant rødvin som tåler 5-6 år. Godt kjøp.;2018;  6. mai 2019;https://www.aperitif.no/pollisten/produkt/matassa-tattouine-rouge-2018/2193664
11051001;90;En flott auxey som tåler 6-7 år. Godt kjøp.;2017;  6. mai 2019;https://www.aperitif.no/pollisten/produkt/jean-charles-fagot-auxey-duresses-les-ruchottes-2017/2193747
11051401;90;En lekker musserende som tåler 6-7 år. Meget godt kjøp.;2016;  6. mai 2019;https://www.aperitif.no/pollisten/produkt/simpsons-chalklands-classic-cuvee-2016/2193749
11066901;90;En herlig sylsank og elegant men fortsatt ganske fersk Loire-chenin som tåler 8 år. Meget godt kjøp.;2017;  6. mai 2019;https://www.aperitif.no/pollisten/produkt/rocher-des-violettes-montlouis-touche-mitaine-2017/2193792
11068801;90;En herlig veldig mineralsk champagne som tåler 7-8 år. Meget godt kjøp.;NA;  6. mai 2019;https://www.aperitif.no/pollisten/produkt/chartogne-taillet-champagne-sainte-anne/2193791
11072101;90;En herlig og karaktersterk hvitvin som tåler 8 år. Meget godt kjøp.;2018;  6. mai 2019;https://www.aperitif.no/pollisten/produkt/saillard-lucky-you/2193663
11077502;90;En flott tørr amontillado som holder evig.;2017;  6. mai 2019;https://www.aperitif.no/pollisten/produkt/fernando-de-castilla-antique-amontillado/2193665
11085301;90;En herlig hvitvin som tåler 8 år. Meget godt kjøp.;2017;  6. mai 2019;https://www.aperitif.no/pollisten/produkt/curtet-altesse-2017/2193796
11086301;90;En svært annerledes sauvignon med helt andre frukttoner, denne kan minne om en tørr plomme-sake. Tåler 6-7 år. Meget godt kjøp.;2017;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/alexandre-bain-terre-d-obus-2017/2203579
10241001;90;En intens og mørk og konsentert naturvin som etter et par år vil bli forførende myk. Bør dekanteres i dag. Tåler 8 år. Meget godt kjøp.;2018;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/lucy-margaux-merlot/2141583
10242901;90;En artig saltpreget vin som tåler 6-7 år. Meget godt kjøp.;2015; 15. september 2018;https://www.aperitif.no/pollisten/produkt/malkoa-2015/2141589
10244501;90;En veldig ung og lovende rielsing som tåler 12 år. Meget godt kjøp.;2016; 14. januar 2019;https://www.aperitif.no/pollisten/produkt/dom-agape-grand-cru-rosacker-riesling-2016/2141596
10245501;90;En flott vin som tåler 10 å. Meget godt kjøp.;2014; 14. januar 2019;https://www.aperitif.no/pollisten/produkt/valdrinal-tradicion-crianza-2014/2130651
10259601;90;En svært ung vin som må legges til side og som trenger mye tid. Tåler 12 år. Godt kjøp.;2014; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/m-marengo-barolo/2140266
10265601;90;En kul knusktørr og ganske kompleks musserende som er bedre balansert med bedre syrefriskhet enn forrige årgang og som tåler 6-7 år. Meget godt kjøp.;2013; 14. januar 2019;https://www.aperitif.no/pollisten/produkt/strauch-riesling-40-monate-extra-brut-2013/2141653
10267401;90;En herlig saltpreget vin som tåler 8 år. Meget godt kjøp.;2014; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/contra-soarda-vignasilan-breganze-vespaiolo-2014/2140130
10267501;90;En flott vin som tåler 8 år. Meget godt kjøp.;2013; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/contra-soarda-terre-di-lava-breganze-rosso-riserva-2013/2140138
10269501;90;En smaksrik, strukturert og lovende vin som tåler 10 år. Godt kjøp.;2016; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/a-puddara-etna-bianco-2016/2140462
10281801;90;En syrefrisk og samtidig rik chardonnay som tåler 10 år. Meget godt kjøp.;2015; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/walter-hansel-the-meadows-chardonnay-2015/2140272
10291901;90;En lekker og leskende fyldig vin som tåler 7-8 år. Meget godt kjøp.;2017; 15. september 2018;https://www.aperitif.no/pollisten/produkt/terroir-sense-fronteres-vertebra-2017/2151931
10844801;90;En herlig champagne som tåler 6-7 år. Meget godt kjøp.;NA; 25. april 2019;https://www.aperitif.no/pollisten/produkt/fleury-blanc-de-noirs-brut/2184821
10867401;90;En flott mineralsk riesling som tåler 10 år. Godt kjøp.;2016;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/steinberger-crescentia-qba-riesling-trocken-goldkapsel-2016/2184860
10965001;90;En deilig og kjøttfull-fruktig også mineralsk hvitvin som tåler 5-6 år. Meget godt kljøp.;2016;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/sorga-royal-canette/2184710
10970001;90;En veldig smaksrik konsentrert og fast beaujolais som tåler 8 år. Meget godt kjøp.;2017;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/dom-les-capreoles-regnie-chamodere-2017/2184997
10971101;90;En superkul burgundtolkning som tåler 8 år. Meget godt kjøp.;2017;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/ganevat-kopines/2184654
10875901;90;En veldig kul morgon som tåler 8 år. Meget godt kjøp.;2016;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/k-descombes-morgon-vieilles-vignes-2016/2184676
11194801;90;En flott og konsentrert krydret rødvin som tåler 12 år. Meget godt kjøp.;2016;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/maranones-garnacha-2016/2203245
11199701;90;En superkul veldig ung og lovende rødvin som tåler 10 år. Meget godt kjøp.;2017;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/borja-perez-artifice-tinto-2017/2203246
11201201;90;En herlig leskende og god barolo som tåler 8 år. Meget godt kjøp.;2015;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/massolino-barolo/2203281
11206701;90;En herlig litt eiket syrah som tåler 8 år. Meget godt kjøp.;2016;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/fabbrica-toscana-syrah-2016/2203145
11209301;90;En konsentrert og sødmefylt saint joseph som tåler 8 år. Minst. Godt kjøp.;2017;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/coursodon-saint-joseph-l-olivaie-2017/2203189
11209501;90;En elegant og leskende krydret barbaresco som tåler 8 år. Godt kjøp.;2016;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/ca-del-baio-barbaresco-asili-2016/2203190
11348201;90;En herlig ung og lovende rioja som tåler 8-10 år. Meget godt kjøp.;2017; 16. september 2019;https://www.aperitif.no/pollisten/produkt/artuke-paso-las-manas-2017/2212521
11349101;90;En herlig nebbiolo som tåler 10 år. Meget godt kjøp.;2015; 16. september 2019;https://www.aperitif.no/pollisten/produkt/sperino-uvaggio-2015/2212478
11359701;90;En herlig og parfymert stofflig pinot som tåler 8 år. Meget godt kjøp.;2017; 16. september 2019;https://www.aperitif.no/pollisten/produkt/whitcraft-pinot-noir-santa-barbara-county-la-lie-fine-v-3-2017/2212520
11362101;90;En deilig Marsannay som tåler 8 år. Meget godt kjøp.;2017; 16. september 2019;https://www.aperitif.no/pollisten/produkt/faiveley-marsannay-les-echezeaux-2017/2212282
11220601;90;En flott pinot som tåler 8 år. Minst. Meget godt kjøp.;2016;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/j-b-becker-wallufer-walkenberg-spatburgunder-spatlese-trocken-2016/2203388
11224001;90;En kompleks og rik hvitvin som tåler 8 år. Meget godt kjøp.;2018;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/gabrielskloof-elodie-chenin-blanc/2203280
11230601;90;En virkelig kraftpakke av en hvitvin som tåler 8 år. Meget godt kjøp.;2017; 16. september 2019;https://www.aperitif.no/pollisten/produkt/ca-botta-le-pergolette-veronese-garganega-bianco/2204236
11231901;90;En flott syrefrisk st aubin som tåler 8 år. Meget godt kjøp.;2017; 16. september 2019;https://www.aperitif.no/pollisten/produkt/pillot-saint-aubin-1er-cru-sentier-du-clou-2017/2212442
11232401;90;En kul ikke helt tørr chenin som tler 20 r. Meget got kjøp.;NA;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/pascal-lambert-le-chenin-de-l-interdit/2203384
11233001;90;En herlig lovende vin med god kompleksitet som tler 8 r. Meget godt kjøp.;NA;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/les-vignes-oubliees-terrasses-du-larzac-2017/2203385
11238401;90;En herlig fersk og lovende bordeaux i en veldig frisk fast stil som tåler 8 år. Meget godt kjøp.;2015;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/clos-puy-arnaud-les-ormeaux-2015/2203478
11252701;90;En veldig artig og smaksrik riesling som tåler 8 år. Godt kjøp.;2017;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/rieffel-wiebelsberg-grand-cru-riesling-2017/2203492
10603001;90;En super rødvin i en leskende og seriøs stil som tilfredsstiller også den mest kresne. Tåler 6-7 år. Meget godt kjøp.;2017; 14. desember 2018;https://www.aperitif.no/pollisten/produkt/ismael-gozalo-rufete-rufian/2165845
10615801;90;En nydelig bourgogne rouge som tåler 6-7 år. Meget godt kjøp.;2014; 14. desember 2018;https://www.aperitif.no/pollisten/produkt/barthod-bourgogne-rouge-2014/2165915
10620601;90;En lekker riesling som tåler 10 år. Meget godt kjøp.;2018;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/eva-fricke-riesling/2165940
10624101;90;En flott macon som tåler 6-7 år. Meget godt kjøp.;2017; 14. desember 2018;https://www.aperitif.no/pollisten/produkt/heritiers-du-comte-lafon-macon-milly-lamartine/2165972
10625001;90;En svært elegant og innsmigrende rødvin som tåler 6-7 år. Meget godt kjøp.;2015; 14. desember 2018;https://www.aperitif.no/pollisten/produkt/dom-des-enfants-l-enfant-perdu/2165978
10628701;90;En flott savagnin som tåler 10 år. Meget godt kjøp.;2016; 14. desember 2018;https://www.aperitif.no/pollisten/produkt/marnes-blanches-savagnin-en-quatre-vis-2018/2166014
10630101;90;En smaksrik ikke helt knusktørr og lovende GG som tåler 10 år. Meget godt kjøp.;2017;  6. mai 2019;https://www.aperitif.no/pollisten/produkt/dr-loosen-graacher-himmelreich-riesling-gg-2017/2166028
10630201;90;En flott GG som tåler 8 år. Meget godt kjøp.;2017;  6. mai 2019;https://www.aperitif.no/pollisten/produkt/dr-loosen-graacher-domprobst-riesling-gg-2017/2166029
10630401;90;En herlig Jura-chardonnay som tåler 8 år. Meget godt kjøp.;2017; 14. desember 2018;https://www.aperitif.no/pollisten/produkt/marnes-blanches-les-molates-chardonnay-2018/2166031
10644901;90;En konsentrert hvit burgunder med moden eplefrukt, men som også er lovende. Tåler 7-8 år. Meget godt kjøp.;2016; 14. desember 2018;https://www.aperitif.no/pollisten/produkt/famille-paquet-pouilly-fuisse-les-crays/2166125
10660601;90;En solid riesling som tåler 8 år. Minst. Meget godt kjøp.;2017; 14. januar 2019;https://www.aperitif.no/pollisten/produkt/kranz-riesling-vom-kalk-2017/2166213
10662001;90;En herlig pinot gris-oransjevin som har åpnet seg enda mer siden i fjor og som tåler 8 år. Meget godt kjøp.;2016; 16. september 2019;https://www.aperitif.no/pollisten/produkt/milan-nestarec-podfuck-2016/2166224
11094602;90;En veldig fruktig og fyldig mjød med en veldig kjøttfull karakter.;2018; 16. september 2019;https://www.aperitif.no/pollisten/produkt/underfundig-mjod/2203580
11097201;90;En lekker cremant som tåler 8 år. Meget godt kjøp.;NA;  6. mai 2019;https://www.aperitif.no/pollisten/produkt/dom-des-gandines-cremant-de-bourgogne/2193695
11100201;90;En herlig leskende og transparent pinot-blanding som tåler 8-10 år. Meget godt kjøp.;2018;  6. mai 2019;https://www.aperitif.no/pollisten/produkt/blankbottle-familiemoord-2018/2193719
11103201;90;En kompleks og flott hvitvin som tåler 8 år. Godt kjøp.;2016;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/ch-capion-languedoc-2016/2194690
11104001;90;Leskende, lettdrikkelig og elegant sider og den mest komplekse utgaven til nå fra Solhøi.;NA;  6. mai 2019;https://www.aperitif.no/pollisten/produkt/solhoi-flytende-solskinn-sider-2018/2194698
11106501;90;En klassisk slank og elegant hvit bordeaux som tåler 8-10 år. Meget godt kjøp.;2017;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/ch-picque-caillou-blanc-2017/2194713
11134401;90;En solid og lovende riesling som tåler 7-8 år. Meget godt kjøp.;2018; 29. august 2019;https://www.aperitif.no/pollisten/produkt/allram-heiligenstein-erste-lage-riesling-2018/2203783
11158601;90;En fruktig og myk barolo som tåler 6-7 år. Meget godt kjøp.;2015;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/giulia-negri-barolo-la-tartufaia-2015/2203191
11160901;90;En herlig rimelig champagne som tåler 6-7 år. Meget godt kjøp.;NA; 16. september 2019;https://www.aperitif.no/pollisten/produkt/pertois-moriset-l-assemblage-brut/2212477
11194801;90;En flott og konsentrert krydret rødvin som tåler 12 år. Meget godt kjøp.;2016;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/maranones-garnacha-2016/2203245
11199701;90;En superkul veldig ung og lovende rødvin som tåler 10 år. Meget godt kjøp.;2017;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/borja-perez-artifice-tinto-2017/2203246
11201201;90;En herlig leskende og god barolo som tåler 8 år. Meget godt kjøp.;2015;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/massolino-barolo/2203281
11206701;90;En herlig litt eiket syrah som tåler 8 år. Meget godt kjøp.;2016;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/fabbrica-toscana-syrah-2016/2203145
11209301;90;En konsentrert og sødmefylt saint joseph som tåler 8 år. Minst. Godt kjøp.;2017;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/coursodon-saint-joseph-l-olivaie-2017/2203189
