varenummer;order_to_store
  152601;Kan bestilles til alle butikker
  152602;Kan bestilles til alle butikker
  156201;Kan bestilles til alle butikker
  156202;Kan bestilles til alle butikker
  156401;Kan bestilles til alle butikker
  156801;Utsolgt i alle butikker - kan ikke bestilles
  157602;Kan bestilles til alle butikker
  157901;Kan bestilles til alle butikker
  158301;Kan kjøpes i butikk med varen på lager
  158801;Utsolgt i alle butikker - kan ikke bestilles
  159601;Kan kjøpes i butikk med varen på lager
  161801;Kan bestilles til alle butikker
  162701;Kan bestilles til alle butikker
  163801;Kan bestilles til alle butikker
  164501;Kan bestilles til alle butikker
  164601;Kan bestilles til alle butikker
  165801;Kan bestilles til alle butikker
  166801;Kan kjøpes i butikk med varen på lager
  167801;Kan bestilles til alle butikker
  167901;Kan kjøpes i butikk med varen på lager
  168301;Kan bestilles til alle butikker
  168701;Kan bestilles til alle butikker
  168801;Kan bestilles til alle butikker
  169701;Kan bestilles til alle butikker
  170001;Kan bestilles til alle butikker
  170301;Kan kjøpes i butikk med varen på lager
  170501;Kan bestilles til alle butikker
  170505;Kan bestilles til alle butikker
  171301;Kan bestilles til alle butikker
  172601;Kan kjøpes i butikk med varen på lager
  173101;Kan bestilles til alle butikker
  173201;Kan bestilles til alle butikker
  173301;Kan bestilles til alle butikker
  173401;Kan bestilles til alle butikker
  173501;Kan bestilles til alle butikker
  174702;Kan bestilles til alle butikker
  176101;Kan bestilles til alle butikker
  177005;Kan kjøpes i butikk med varen på lager
  177101;Utsolgt i alle butikker - kan ikke bestilles
  177302;Kan kjøpes i butikk med varen på lager
  177701;Kan bestilles til alle butikker
  177705;Kan bestilles til alle butikker
  180101;Kan bestilles til alle butikker
  180201;Kan bestilles til alle butikker
  180301;Kan bestilles til alle butikker
  185506;Kan bestilles til alle butikker
  186101;Kan bestilles til alle butikker
  186105;Kan bestilles til alle butikker
  186301;Kan kjøpes i butikk med varen på lager
  186402;Kan bestilles til alle butikker
  187601;Kan bestilles til alle butikker
  187701;Kan bestilles til alle butikker
  187801;Kan bestilles til alle butikker
  187805;Kan bestilles til alle butikker
  187901;Kan bestilles til alle butikker
  189201;Kan bestilles til alle butikker
  191401;Kan bestilles til alle butikker
  191501;Kan bestilles til alle butikker
  192601;Kan bestilles til alle butikker
  193001;Kan bestilles til alle butikker
  193901;Kan bestilles til alle butikker
  194101;Kan bestilles til alle butikker
  196501;Kan bestilles til alle butikker
  197401;Kan bestilles til alle butikker
  201001;Kan bestilles til alle butikker
  202701;Utsolgt i alle butikker - kan ikke bestilles
  204401;Kan bestilles til alle butikker
  209101;Kan bestilles til alle butikker
  209201;Kan bestilles til alle butikker
  209301;Kan bestilles til alle butikker
  216601;Kan bestilles til alle butikker
